Minisector,LEC,ALO,Fastest
0,291.35781564773106,288.5577012143693,LEC
1,296.0592229387645,295.40590984515154,LEC
2,156.07966926550102,167.8545904572699,ALO
3,219.57361885575756,222.12136367337536,ALO
4,270.90505636029627,269.6858661250269,LEC
5,291.730780390056,291.6986255193277,LEC
6,301.0815441813853,298.94498104295366,LEC
7,164.4377060025271,167.61151202959707,ALO
8,128.36167937144154,122.09607852953896,LEC
9,249.015412236937,244.56293526240557,LEC
10,285.5117781692352,283.2255190869145,LEC
11,298.63680480000005,295.0639389272271,LEC
12,146.24250084588184,152.29904086325215,ALO
13,192.4647946899306,182.58132917281966,LEC
14,258.38414778463977,253.24691644193732,LEC
15,206.5216441405659,202.32952730784436,LEC
16,213.85823053225613,213.9652076591304,ALO
17,209.67275859986535,208.31047703975995,LEC
18,241.05856766938325,240.87326714933334,LEC
19,276.4116277992158,274.8131246243771,LEC
20,296.82632960056435,293.5096215520448,LEC
21,261.0228193988719,268.3234029123232,ALO
22,219.25538733131233,224.6340474009917,ALO
23,201.26157544691358,199.74457686245015,LEC
24,263.44728272716293,262.7120024464762,LEC
