Minisector,ALB,SAI,Fastest
0,256.0840150634594,260.0499539909452,SAI
1,210.58754478843767,198.1130091696778,ALB
2,216.2769050411021,225.27210098984767,SAI
3,260.6646853981723,265.0455343001728,SAI
4,273.9155045877551,279.76855399750025,SAI
5,214.42859746475077,208.53966381378476,ALB
6,94.64959730840387,96.42133537789331,SAI
7,185.35690185688466,197.89852144580115,SAI
8,269.0346202197701,283.58607282734806,SAI
9,291.648322367189,315.61129241951386,SAI
10,299.5232892930016,328.5763977698772,SAI
11,293.87100781804503,312.1238447679049,SAI
12,110.23032840057024,109.98027593489068,ALB
13,210.4783564512359,224.21376426790616,SAI
14,276.34727892219405,280.6937495587669,SAI
15,295.4070041050704,298.1588557575109,SAI
16,217.4013695053754,209.71991144634995,ALB
17,124.07940830966338,123.81342313272076,ALB
18,152.16663298626,157.68235245126465,SAI
19,250.50117272557205,255.30402076157625,SAI
20,157.29734133890105,154.73734454221434,ALB
21,128.04747849679376,127.17520902993839,ALB
22,204.42877000539445,208.07721636442042,SAI
23,206.23808837242234,194.80485132479532,ALB
24,166.0840659895198,165.57170816169727,ALB
