Minisector,ANT,LEC,Fastest
0,283.4222383085236,294.94742322010325,LEC
1,153.78787376556662,158.45397307390633,LEC
2,165.8208445846184,164.54794772653125,ANT
3,246.96024367171503,232.91925184922454,ANT
4,267.8673684210526,254.93503272899932,ANT
5,245.0464203491364,238.73964217858918,ANT
6,214.88876695511024,215.1973698305467,LEC
7,143.52167826363387,143.9978018929558,LEC
8,227.58339902268398,226.10323745876576,ANT
9,299.32839673377197,297.09194533595024,ANT
10,321.107436033115,320.04117642875815,ANT
11,325.48754167466666,317.68788039788365,ANT
12,317.96399697234295,310.9306987045926,ANT
13,310.8164457825427,306.4355555555556,ANT
14,125.367183438346,126.90314696401015,LEC
15,115.74442709599639,117.23548275944475,LEC
16,99.12454581327354,105.07364659071219,LEC
17,239.94448240899473,236.9015856793269,ANT
18,306.15584704903864,301.7402659854342,ANT
19,317.6121522309775,320.44281763996275,LEC
20,314.8109062533333,316.38975450285716,LEC
21,312.5970944296613,312.5483751466667,ANT
22,122.75939297044481,123.83124831681874,LEC
23,205.85184332538415,200.5172710941082,ANT
24,269.99526363659464,276.0574111938206,LEC
25,,288.0,LEC
