Minisector,HAM,STR,Fastest
0,253.20805177124777,252.65856504527576,HAM
1,210.57113279319142,206.47441989177204,HAM
2,222.44567997667576,216.19045992397696,HAM
3,262.1383931428571,260.343011495445,HAM
4,276.3804203934691,275.0070869354307,HAM
5,224.32872275268818,224.59568421022158,STR
6,97.6501521137319,96.43010944370452,HAM
7,177.5011400752403,176.69251735827217,HAM
8,267.29674220130835,264.69207992085745,HAM
9,290.33920562916705,286.88174095469594,HAM
10,299.7372154501035,295.0298912463768,HAM
11,295.6831208264219,294.1763141466094,HAM
12,114.0450006933485,141.31124776825396,STR
13,211.09545848332212,213.35950482951554,STR
14,274.60728316559783,273.83584302912425,HAM
15,292.3991201722567,292.51156871777613,STR
16,227.07414067788375,196.94468873295875,HAM
17,123.83593528208154,117.58560943855677,HAM
18,153.3941078320632,155.5948065397339,STR
19,252.3146101300696,253.70796476617465,STR
20,159.36027491288954,149.16158979447803,HAM
21,129.84229136013397,124.69596671307032,HAM
22,201.67436744066896,206.63122246412982,STR
23,212.9743255019482,199.29675350697454,HAM
24,168.3564819148695,162.9975449241048,HAM
25,229.541664,,HAM
