Minisector,LEC,SAI,Fastest
0,245.3381896827586,244.17442560688255,LEC
1,279.51180555555555,281.96862771489435,SAI
2,187.45750643656555,185.40155580188832,LEC
3,154.18816290909092,149.42809150014043,LEC
4,255.79296988607717,256.88923918854823,SAI
5,273.6139047619048,268.4146666666667,LEC
6,218.24098160639346,211.58019044964217,LEC
7,197.2113774976871,192.25555555555556,LEC
8,151.6503306538639,150.81454051851833,LEC
9,211.9120096887617,208.12223175969493,LEC
10,272.59583333333336,272.2621904761905,LEC
11,128.18545702717367,121.8423886079346,LEC
12,206.33769136649863,208.2360449975072,SAI
13,269.1148351648352,276.059623015873,SAI
14,289.6654951766528,303.6388528138528,SAI
15,297.88999680738425,318.4174298665479,SAI
16,252.2393515851852,247.4482142857143,LEC
17,133.57521097428085,128.2499407312096,LEC
18,128.5394589828105,124.3495673256639,LEC
19,120.32852110320545,114.89823439548022,LEC
20,222.1710523579312,224.81938181505376,SAI
21,250.93086419753087,251.34814814814814,SAI
22,244.88021019858266,233.59565562919008,LEC
23,225.07871002412696,210.89595943434344,LEC
24,142.31148519343185,136.4893202759971,LEC
