Minisector,OCO,PER,Fastest
0,273.82252258250116,283.473072559213,PER
1,294.725626710492,308.72537465649964,PER
2,286.6813761616162,284.9677535536232,OCO
3,167.82211201215273,158.19660414593525,OCO
4,114.01979299140929,118.0017159937496,PER
5,235.68430816774514,241.83640390984144,PER
6,282.12078451630055,295.40433553512486,PER
7,291.21306763636363,298.6323669621752,PER
8,165.03310051379492,154.06729469167607,OCO
9,133.75497465490588,133.6600777399115,OCO
10,248.94660372348335,253.470574046027,PER
11,285.61686910020046,294.3875099382023,PER
12,292.02129670877355,293.2318949737252,PER
13,268.2049595125599,264.06300604521914,OCO
14,296.4983305906914,296.87658269895496,PER
15,299.20025446982754,295.77018955330027,OCO
16,237.70141947009654,225.9894360037443,OCO
17,214.0773172556122,215.17617328358054,PER
18,276.6057610554894,289.20429723003457,PER
19,303.0549123568451,319.04716308462145,PER
20,307.69276791033394,310.7087667460442,PER
21,214.99237421543458,194.55222326967282,OCO
22,249.98132150191574,243.27380433570673,OCO
23,132.43603486362883,126.95613808669204,OCO
24,208.294943405032,220.59620105298035,PER
25,253.3624992,,OCO
