Minisector,RIC,MAG,Fastest
0,283.48104149333335,273.0316488378117,RIC
1,309.3124167045055,289.1298406117647,RIC
2,305.20529088677245,292.5232462917293,RIC
3,119.20262288386729,128.09007512957027,MAG
4,208.20316612266666,202.0323403005291,RIC
5,260.420004281499,256.63705016531844,RIC
6,145.21925256617249,143.55648487117796,RIC
7,212.46596961144425,209.27116738648118,RIC
8,260.75291933605445,261.3781742730159,MAG
9,279.2737688380809,279.88167100380986,MAG
10,230.19616022382417,233.76016027614295,MAG
11,180.44784934930877,182.2666881996716,MAG
12,202.1822605638501,194.16292212891764,RIC
13,148.9988047079275,145.23239886893688,RIC
14,180.89471272866828,181.8866471720635,MAG
15,168.09304989555926,166.2910734031895,RIC
16,227.12607262575807,220.56094681573498,RIC
17,235.37859750559005,237.42398037991288,MAG
18,242.12295419540007,237.86983033062793,RIC
19,232.88008466984127,234.73442175072464,MAG
20,148.2777007291667,142.67994994945062,RIC
21,134.7346939551894,135.4641557265395,MAG
22,179.7213716918689,172.52012634285714,RIC
23,154.07831691160155,152.1569523992063,RIC
24,229.54678761350553,231.6282600811594,MAG
25,256.6124976,261.1562496,MAG
