Minisector,RIC,KVY,Fastest
0,312.24769650516885,338.06706171951225,KVY
1,227.99111393733511,268.7070096916104,KVY
2,139.99060014146605,126.84751417046914,RIC
3,225.35415434909137,218.82916666666665,RIC
4,263.7891964509455,262.75478294581364,RIC
5,288.42916613333335,289.0152057743316,KVY
6,305.17983521493153,305.0,RIC
7,264.7485249115767,290.541238147081,KVY
8,174.7436793250928,177.413174427975,KVY
9,244.976638440051,240.94585182567266,RIC
10,275.1665915707171,271.5865671705156,RIC
11,256.7547177275071,262.1324263802954,KVY
12,202.80995516634582,204.13717106512965,KVY
13,127.82095686020484,132.99389841750042,KVY
14,128.73363306580583,126.6806297747731,RIC
15,164.49534611623523,166.97232824327764,KVY
16,129.74863619186064,125.52446069312744,RIC
17,227.22567366425474,230.95362927434516,KVY
18,181.5198395378797,187.2298813388211,KVY
19,169.39851959909734,167.56562792127195,RIC
20,250.82679322411968,251.27505938064522,KVY
21,277.6026940572373,279.0528098789213,KVY
22,293.31852405587057,292.71440647023985,RIC
23,303.2313120604466,303.4144580434759,KVY
24,309.26559679912873,309.0679916135922,RIC
25,311.0,310.0,RIC
