Minisector,VET,SAI,Fastest
0,278.3952726510947,278.79153640350734,SAI
1,295.85768951150317,295.4212498133333,VET
2,233.62115223288555,234.27639957809978,SAI
3,116.0309885250028,112.62248621885252,VET
4,133.5919567875969,132.6537937458986,VET
5,247.32572452173915,247.73336056003703,SAI
6,256.48246537777777,259.1706854022167,SAI
7,125.38921182163705,121.57601620193466,VET
8,246.62362845548654,246.0674043,VET
9,249.36203424596272,255.29188588432962,SAI
10,208.66163770114943,207.97992622134646,VET
11,138.41374602702106,143.98896206671753,SAI
12,206.91348314398013,204.68553163156756,VET
13,264.94483295584416,261.71058510973086,VET
14,117.24101275966386,118.79146204749914,SAI
15,184.35692847297676,186.224273926465,SAI
16,254.15984863030306,254.72246376811594,SAI
17,287.5774802008246,286.45951622702546,VET
18,305.3079165866667,299.9697916266667,VET
19,312.9950397968254,305.80375008,VET
20,317.29388563420144,309.79978060350874,VET
21,171.91171711129252,181.88203066666668,SAI
22,141.95379749884407,134.12368202909283,VET
23,200.469964777843,201.28394405564825,SAI
24,232.0419828038095,230.88000042666667,VET
25,265.3833344,263.8367909276125,VET
