Minisector,VET,PER,Fastest
0,296.180980738322,288.6397721974026,VET
1,313.9049907697198,308.49145808,VET
2,314.5783333333333,303.5595254233186,VET
3,183.0988923954772,180.10855524571429,VET
4,225.09520870076426,220.55394299999998,VET
5,209.00208381301883,201.09648270556377,VET
6,190.57163923493226,187.09793433725488,VET
7,220.3976455029974,211.52746526183557,VET
8,264.81542002135336,258.7128548801181,VET
9,262.2498512444444,256.3942237350142,VET
10,176.49619977099894,168.09948487230105,VET
11,245.1768028973471,240.82104676923078,VET
12,119.43646092028658,118.0465525480818,VET
13,232.99541179172132,232.89495952464117,VET
14,280.3822714789201,279.5295450181818,VET
15,292.5752164502165,284.80661981412,VET
16,210.4265587924474,193.0110292378693,VET
17,188.96334776334777,191.20416999041336,PER
18,276.8043326937686,273.57913866666667,VET
19,301.7730952380952,299.53977236363636,VET
20,312.8266910723505,311.8737144537423,VET
21,313.2838095238095,310.23750026666664,VET
22,275.15625,248.20768836741115,VET
23,116.86081716923078,120.10344665369259,PER
24,249.45556115782458,246.49166557866664,VET
