Minisector,VET,HAM,Fastest
0,269.34226224761903,267.552176008582,VET
1,133.1527647233081,133.46762505749794,HAM
2,189.55119020288296,194.8335422574027,HAM
3,244.9686952241037,246.30176860438752,HAM
4,264.8905023701038,261.7596148395604,VET
5,180.46834909358407,176.46139963506985,VET
6,142.50968577079524,145.29352606831304,HAM
7,181.0497347403224,180.97677332157645,VET
8,100.61759170747017,100.7812796862845,HAM
9,74.28042562703955,74.7632130385619,HAM
10,92.80726406280677,96.21234205631706,HAM
11,171.10204115392185,176.99671641160245,HAM
12,243.06054292619612,243.12269499082984,HAM
13,271.45641066666667,269.50960570843296,VET
14,282.8998751414233,281.0648749631285,VET
15,114.93294719014311,115.99818331585317,HAM
16,139.0366812577581,136.6214119718188,VET
17,191.8842917240482,183.0023015402533,VET
18,195.73556114055677,188.90992188021673,VET
19,224.70202489923065,207.17037030426462,VET
20,130.44184207842662,128.1625991791569,VET
21,120.01939728700124,116.91864761953808,VET
22,88.49709114389705,89.06323276000998,HAM
23,189.4277809777778,188.23718645668754,VET
24,250.75690405682263,246.58027676444445,VET
25,,264.43749866666667,HAM
