Minisector,VER,PER,Fastest
0,294.60042982617733,293.4756303090128,VER
1,308.2170832059259,307.3522865653781,VER
2,312.81507789444055,313.49293205360607,PER
3,315.239000192,314.7105764319533,VER
4,184.67360545393416,193.964190749899,PER
5,217.20296244311763,211.3323949409994,VER
6,269.91815428571425,267.4414868525205,VER
7,262.5445688465876,270.4520180462585,PER
8,185.39013423972247,185.42107849932833,PER
9,142.89305874353875,144.10659562398246,PER
10,178.7636438927473,184.11184614302783,PER
11,256.1953962502618,259.8598929928158,PER
12,247.08079405756106,251.7875112395534,PER
13,225.38012413675503,233.26488959552734,PER
14,263.9209198041366,274.69410670597125,PER
15,160.4956008859152,169.32364562989767,PER
16,220.10413735963223,219.00961107602052,VER
17,238.61102867712307,228.80294220484583,VER
18,132.37131296922306,130.9196420168623,VER
19,236.43036333108415,244.20199007715757,PER
20,280.0112992137143,281.97516079795065,PER
21,244.24969578567305,234.20952308838568,VER
22,136.06328044723512,139.3286008460717,PER
23,201.3006803212069,216.5260771466311,PER
24,269.8164980814368,271.3281023431305,PER
25,284.01500032,,VER
