Minisector,BOT,GRO,Fastest
0,284.78601239520214,288.6389498408931,GRO
1,258.74786816609424,242.5623397340412,BOT
2,275.2531876560854,270.1707332558378,BOT
3,280.15973419104336,291.29398325692694,GRO
4,135.25822159333632,126.28526380385998,BOT
5,210.95315632284513,211.17885536939448,GRO
6,266.2159702921674,273.6902814741148,GRO
7,287.8552565937721,300.49999411923534,GRO
8,296.92896188047285,313.689450203486,GRO
9,300.99509020061737,321.93452256969874,GRO
10,277.8411443294487,307.1514184620173,GRO
11,100.49598661898544,104.31795804926095,GRO
12,223.8300730935058,218.34949959965468,BOT
13,273.63940308247396,271.67798301810456,BOT
14,273.84120258510586,272.8046362566167,BOT
15,135.35550602603155,132.21100523069342,BOT
16,215.35019891241546,205.8324823309482,BOT
17,263.0778864558997,257.66299475508106,BOT
18,259.3857403541403,256.2185616411725,BOT
19,250.55233379218598,243.62326046906435,BOT
20,152.48152445414914,151.95090352008123,BOT
21,191.99278572647378,186.9847505909041,BOT
22,188.1456455061967,173.69656791798437,BOT
23,201.8916632446017,186.02814817997393,BOT
24,257.60554044628424,248.53499615446464,BOT
25,,276.08368305708905,GRO
