Minisector,RUS,TSU,Fastest
0,304.6183903554019,305.99691068552187,TSU
1,238.07478095853776,207.17595158260872,RUS
2,138.9825294701376,142.546815382986,TSU
3,224.03153418852463,214.6160006643194,RUS
4,172.41265335721167,164.25910324805366,RUS
5,171.37311462737253,178.93969410036942,TSU
6,253.43584973565768,254.50576796810861,TSU
7,281.01513286989933,280.91279685188215,RUS
8,288.8030748406417,288.9985416087273,TSU
9,260.3874786277477,262.66185291851855,TSU
10,245.97462988248353,246.62075856,TSU
11,242.05880067389867,235.6903989392147,RUS
12,215.37958690701794,197.7433060450585,RUS
13,125.8055824068138,126.43988504224664,TSU
14,140.99464350598444,138.31149338801688,RUS
15,169.6489257720656,173.92717101355626,TSU
16,245.90446358687828,250.69606253268466,TSU
17,241.131653258836,241.2086132505397,TSU
18,114.6105854647595,109.91091068432057,RUS
19,196.3378884846804,198.0598069311006,TSU
20,201.11606880883718,201.82126732883117,TSU
21,238.29884276680272,238.68128470224312,TSU
22,268.81957683595476,266.7355280135887,RUS
23,286.4622395733333,287.16526164388165,TSU
24,298.66953865904765,300.1124422526698,TSU
25,303.33249983999997,,RUS
