Minisector,HAM,SAI,Fastest
0,278.70165003519134,276.9403792970472,HAM
1,297.99230106478325,300.31076386666666,SAI
2,294.27604732026714,295.89553530828715,SAI
3,186.72728923977766,175.81112954240427,HAM
4,119.81700245475825,113.84807860394929,HAM
5,236.18884538494623,234.31559084731182,HAM
6,285.4973260576535,289.08683296426665,SAI
7,296.5652776,301.2431671466667,SAI
8,181.90195095321263,175.06014397483025,HAM
9,142.27977935667357,138.8310243982274,HAM
10,248.88520228045977,249.73045936551725,SAI
11,288.5971199918777,290.5079259707593,SAI
12,298.5468993968254,303.36922148571426,SAI
13,277.96656506765027,281.070476135619,SAI
14,297.667067454164,300.5850096555176,SAI
15,300.5436257206349,300.7244547936508,SAI
16,252.6366508514666,241.19715435651062,HAM
17,225.55168322480617,221.7089838,HAM
18,280.59785111622693,280.98706665605465,SAI
19,302.4512155111111,308.9432041714286,SAI
20,303.53896512378157,312.65172074314955,SAI
21,235.7536632190476,222.79781758614718,HAM
22,261.82231701694866,255.92591562110186,HAM
23,142.11763170990167,130.92743223050996,HAM
24,211.86813885490196,212.4827666778392,SAI
25,258.5833386666667,,HAM
