Minisector,ALB,NOR,Fastest
0,323.4057957533835,300.57807968198756,ALB
1,330.854414340457,302.2496212363636,ALB
2,273.2210144927536,246.23623878574142,ALB
3,160.776511325209,151.82583054972582,ALB
4,165.7093842334517,162.50644966297696,ALB
5,215.1506944,211.86931667342466,ALB
6,227.70769565480464,224.98928107583464,ALB
7,214.83333333333334,211.42711415896554,ALB
8,262.4442746243912,261.92674686914904,ALB
9,257.03312629399585,258.62425599263656,NOR
10,273.58779761904765,274.99795839752306,NOR
11,270.6834553628359,273.46362692180884,NOR
12,262.93416666666667,273.9041668888889,NOR
13,260.6371747631727,260.44449852342854,ALB
14,175.6642857142857,176.91609808364865,NOR
15,236.49413142956053,243.52764950582923,NOR
16,210.4437602627258,207.0565828563668,ALB
17,177.87131599485198,171.84695570345744,ALB
18,258.2708333333333,256.5673029184787,ALB
19,285.6422905660826,285.2243782745576,ALB
20,251.4352380952381,249.11006043326609,ALB
21,190.72845751576148,188.07033915948318,ALB
22,257.68831168831167,256.4653663720306,ALB
23,283.65063085116816,284.7763630221147,NOR
24,296.3712121212121,296.31306804848487,ALB
