Minisector,VET,RAI,Fastest
0,285.3598010659739,280.98270434708996,VET
1,311.86628182939637,306.32770360119696,VET
2,325.1535718095238,320.4613092571429,VET
3,332.7794646857143,327.5705780571429,VET
4,337.07559535238096,331.5310898051282,VET
5,338.00595238095235,333.23790082647537,VET
6,206.37139636363636,217.6435111328798,RAI
7,106.1849518918821,109.55297926507102,RAI
8,196.23198287418947,188.02816818050053,VET
9,271.1852000711111,265.1956802439986,VET
10,301.45342350476193,293.9093748,VET
11,174.1396712064397,173.97813037776567,VET
12,97.04070373307103,99.87458654385145,RAI
13,120.61235951707624,119.3993266726817,VET
14,227.62676941041522,227.8035779094386,RAI
15,189.71845712171648,178.21739153623187,VET
16,222.56540879576718,219.32145556643445,VET
17,180.5526877885342,173.38368160000002,VET
18,240.6202380952381,236.078965794746,VET
19,287.2225564773727,281.00755226666666,VET
20,254.21338974131788,258.40277777777777,RAI
21,147.75874788757199,146.76376767803382,VET
22,98.07213043848886,100.78896721583489,RAI
23,125.12921684897958,125.64922517979798,RAI
24,237.88730173968253,228.02376534287097,VET
25,,263.229168,RAI
