Minisector,NOR,PER,Fastest
0,290.5133769204205,293.11420752217686,PER
1,164.96156878226495,167.55845240482165,PER
2,177.45434909161793,173.6993114692289,NOR
3,256.0004207190722,256.1737949042424,PER
4,289.3784002015238,283.858379543319,NOR
5,245.5624085448756,255.2147606563037,PER
6,224.36082429923852,226.80066489817187,PER
7,157.02697069537916,150.48848436706658,NOR
8,223.77912081345403,229.18417995844774,PER
9,277.8898441331602,282.38571392,PER
10,297.5265330087157,301.0704024338529,PER
11,306.7593537959184,311.11521320126985,PER
12,309.1844689394395,316.0029959299048,PER
13,307.8060272633135,316.5454034022534,PER
14,132.38353083988474,134.83689637142513,PER
15,118.13406492917466,120.14849502086491,PER
16,102.98332411286756,99.27033829863946,NOR
17,233.82110878044048,236.48231616725886,PER
18,286.11859616715725,286.7373948098219,PER
19,305.91874160314836,308.2707391699248,PER
20,315.8858974881203,319.02508863272726,PER
21,318.76120627649124,323.0004914637576,PER
22,117.96408805327037,123.85779288471883,PER
23,204.3603710002005,199.28545461301775,NOR
24,270.54229534018447,269.9728447333007,NOR
25,,285.7,PER
