Minisector,BOT,GAS,Fastest
0,265.64967938461535,263.3496121612694,BOT
1,252.6031937241925,250.19352138271606,BOT
2,173.24304245283557,167.52314161549512,BOT
3,250.6378558018405,247.2221110574956,BOT
4,276.6744790920635,271.39078807168056,BOT
5,193.44096944021908,190.4551107950736,BOT
6,127.19294244277317,122.58931751741257,BOT
7,165.55943307515858,160.46222984954733,BOT
8,262.6650395704632,259.0488767179487,BOT
9,183.6830368,184.44858593467544,GAS
10,189.6496733742095,181.58066201926133,BOT
11,260.6853807725714,256.40295897764344,BOT
12,242.3147903916975,247.36119677000443,GAS
13,263.31480924038095,254.44877566811815,BOT
14,288.1408014041805,282.12210054492755,BOT
15,287.03083997083354,291.1294717231189,GAS
16,156.31470287539085,150.19452935023386,BOT
17,245.66040489876542,237.75346111724755,BOT
18,288.29249054545903,281.33472992463766,BOT
19,300.2033530801674,293.57518107826087,BOT
20,305.00795447272725,297.1856603291274,BOT
21,308.75122751304775,298.6229168,BOT
22,152.40457895196297,155.6726445805224,GAS
23,98.35445079555426,91.55712597671958,BOT
24,184.89509012683752,177.8509628377084,BOT
25,246.16418138561,245.541664,BOT
