Minisector,PIA,RUS,Fastest
0,304.88092105006103,293.3330584977778,PIA
1,322.34406757079364,303.4091573050815,PIA
2,329.3374448536961,307.1250001185185,PIA
3,332.43945723928766,308.7660489885714,PIA
4,196.08132439844798,193.82953125520763,PIA
5,216.04113768549686,222.19807203995117,RUS
6,268.09604215111113,271.7780618206413,RUS
7,259.9543765481349,275.08010321608464,RUS
8,189.5835166278458,188.64717383997194,PIA
9,147.26510787098414,144.30334405601815,PIA
10,174.4368732520458,188.20582655000462,RUS
11,256.54086216274567,260.9959821355102,RUS
12,249.22007236155844,254.23913040889693,RUS
13,222.65475762680776,235.07887041558442,RUS
14,265.82318751466664,274.0319666230524,RUS
15,163.353916700778,171.03627761625566,RUS
16,217.19150037145482,222.78163906748108,RUS
17,237.31089616195786,235.41190467692306,PIA
18,133.8661126223939,137.07273241763957,RUS
19,237.7842743073716,241.5405698819951,RUS
20,279.35449135771427,280.2872073128594,RUS
21,242.25271039152418,252.2591349142857,RUS
22,139.38221246625233,143.32363884244447,RUS
23,208.64076304390406,220.01707654179896,RUS
24,273.33614094484943,273.9443081439657,RUS
25,284.48333226666665,,PIA
