Minisector,TSU,ALO,Fastest
0,290.5752452860618,291.4296368903511,ALO
1,160.43257309513783,173.54738018050952,ALO
2,171.22125801373187,172.10693729087865,ALO
3,252.239609242197,253.71717115936508,ALO
4,286.47947929227513,286.8274445591139,ALO
5,251.09390971496694,250.7710891140691,TSU
6,222.85813781198053,220.6341823209524,TSU
7,150.11115435172164,148.99859322273687,TSU
8,230.75457871116188,222.16632313594815,TSU
9,279.84189386323976,280.4841662422857,ALO
10,298.1689325018182,298.61332166359153,ALO
11,306.7632220046956,308.130069391746,ALO
12,310.13642174690057,312.33854626807016,ALO
13,306.0938198331429,309.3732427188889,ALO
14,124.87962239924047,125.33913331479617,ALO
15,117.76007155280551,114.28426708132294,TSU
16,102.43763196369882,100.22826108412767,TSU
17,237.7902293993266,232.74588766550937,TSU
18,287.4542514394558,287.39956909760207,TSU
19,306.1474514651335,307.8531074906667,ALO
20,316.0772910168441,317.98087552293356,ALO
21,317.4171835379387,318.52216268927987,ALO
22,119.59546285582775,124.59651833136468,ALO
23,205.20127861612153,205.00372802630386,TSU
24,268.3386765402597,269.9630199459127,ALO
25,281.95357074285715,284.5375008,ALO
