Minisector,VET,HUL,Fastest
0,279.480777340056,276.95138717680265,VET
1,118.49873034185464,119.85767289015276,HUL
2,162.54367114757613,154.0312369454865,VET
3,215.60170385454546,206.78054970243696,VET
4,161.00097403504734,160.07808659753087,VET
5,245.80597650526315,243.95810490049777,VET
6,203.73623021449274,239.5585453014255,HUL
7,136.07319604761904,132.29533586455028,VET
8,235.43500016,225.86319306666667,VET
9,279.98727688571427,281.5038229325001,HUL
10,283.07352847058826,294.43545468571426,HUL
11,145.76060337618694,147.79564929091976,HUL
12,222.4405299016785,213.3867398787879,VET
13,275.92708319999997,270.126202437852,VET
14,271.50952380952384,273.0754933960784,HUL
15,100.86050989922958,100.81541305505682,VET
16,220.49488055037315,209.48736317922078,VET
17,274.5125701539077,265.0951162190274,VET
18,302.76666666666665,299.0377596095238,VET
19,316.32787115684584,315.3809519238095,VET
20,323.83166656,324.5722220088889,HUL
21,297.44444444444446,292.2376538666667,VET
22,157.66979121292925,149.31354970597266,VET
23,241.46224850125313,232.33715436780676,VET
24,285.89328861122357,283.17936400253967,VET
25,299.71249919999997,293.4958336,VET
