Minisector,PIA,HAM,Fastest
0,276.89220436544156,285.77155813075166,HAM
1,295.0629951074517,312.6885666682572,HAM
2,218.819293019166,222.7061818509825,HAM
3,109.03583936064723,105.50370076283933,PIA
4,130.42160218416285,126.33115380558229,PIA
5,246.2080464662904,252.15920734222223,HAM
6,237.3489439802356,242.71311756874613,HAM
7,117.45362746412137,114.54082718797865,PIA
8,242.75066045186816,249.9196814929537,HAM
9,241.8452081511111,250.77195061938698,HAM
10,195.15752726611368,204.59706935496442,HAM
11,134.93147226907905,129.09470323550758,PIA
12,204.6533372282179,195.9869361970477,PIA
13,255.2828855981414,255.1236931552656,PIA
14,107.4729519786514,107.99083920645198,HAM
15,188.9176682705908,185.46048546623376,PIA
16,255.25143465950316,254.65484001892875,PIA
17,291.082216471586,289.9600845823129,PIA
18,309.7546307573333,306.0513773886958,PIA
19,325.0785537592381,322.04071539835684,PIA
20,328.9207554208491,330.25435859064936,HAM
21,144.25391575874306,144.94541545589084,HAM
22,140.9966001703966,149.49464203359244,HAM
23,197.26497037312407,182.4866719601361,PIA
24,233.4541881912606,232.04220799015638,PIA
25,262.64062559999996,,PIA
