Minisector,LEC,PER,Fastest
0,290.54726708917747,288.82853308071583,LEC
1,301.04701521429075,298.241165593985,LEC
2,305.3566144078847,303.90124997333334,LEC
3,306.5596501333333,304.4677628631579,LEC
4,176.53796796466312,186.168700079291,PER
5,214.5553344733686,215.18218406672534,PER
6,241.70937484444445,237.50316706133333,LEC
7,265.40290579392445,265.0630508957195,LEC
8,258.1266529755927,267.0503418855415,PER
9,168.31070316037753,173.80569236539327,PER
10,232.35315130108975,235.359676382287,PER
11,135.9388641409087,137.46711516099506,PER
12,229.78419338651614,228.2172845661858,LEC
13,195.4504343162762,207.97698216661476,PER
14,220.44014573012217,216.99387969514973,LEC
15,251.46908316723844,250.74252096397515,LEC
16,264.30203094320115,264.0555249087113,LEC
17,285.5726189393484,284.24609414009694,LEC
18,165.99785658907885,181.6228165058141,PER
19,176.84238278512714,167.3661675173258,LEC
20,146.63605015677655,149.3724553477178,PER
21,170.2728612529972,177.16572890232874,PER
22,114.66191805257415,120.16185165557998,PER
23,223.36792238165785,220.44478786196305,LEC
24,272.1943829397062,269.0378227690828,LEC
25,,282.39583253333336,PER
