Minisector,OCO,LEC,Fastest
0,305.78836298410437,309.1506588966396,LEC
1,189.7441202236553,198.61513151454395,LEC
2,113.21109201106499,112.04806190354908,OCO
3,198.50459162698414,193.16068855070478,OCO
4,255.89040554426504,250.788596926391,OCO
5,282.87232665627704,282.6145709950327,OCO
6,298.3542602722078,299.60979181666664,LEC
7,243.08360703003626,231.8309401790375,OCO
8,141.7751215030303,147.19730800232804,LEC
9,224.43678790095237,234.02664164149743,LEC
10,267.8947028761905,269.7983377434131,LEC
11,234.71226546424242,223.17047504747782,OCO
12,175.31591434321268,174.566462378829,OCO
13,108.5513973935951,101.92543575926949,OCO
14,105.56212576634027,107.98503274408915,LEC
15,149.6819592817316,136.88970386278717,OCO
16,105.41269984675415,116.65137393944067,LEC
17,205.18502533614267,207.86737154619354,LEC
18,154.89898414337662,146.05982184207792,OCO
19,147.15591029154584,151.07987455404486,LEC
20,237.73581776962405,242.2430242979894,LEC
21,270.3721640616785,274.0904897142857,LEC
22,289.7061454567003,292.5159168106667,LEC
23,299.6634069328254,302.15851010456566,LEC
24,304.37041971536956,307.2222427764706,LEC
