Minisector,GAS,ALO,Fastest
0,246.8248190698811,255.13288735188846,ALO
1,204.80714830705685,199.9186631163454,GAS
2,206.40824717300316,208.18785993344315,ALO
3,257.6645118983496,261.33444467070706,ALO
4,272.1320979353361,275.35282174521535,ALO
5,285.36654249650894,290.9747909977611,ALO
6,158.29442039312934,150.13280819776287,GAS
7,182.865419821486,188.48342777295716,ALO
8,265.0309163724954,272.54240988504614,ALO
9,292.7034845915152,308.0633161802688,ALO
10,304.23069440790124,325.2102732020168,ALO
11,301.27636863637457,305.058457847815,ALO
12,109.9913299508345,101.38697071534425,GAS
13,190.38637013013823,201.76500632491064,ALO
14,266.9145728805577,280.88926030646496,ALO
15,291.6078748899048,311.89474611961907,ALO
16,291.5788039486466,322.67191181579835,ALO
17,187.5880059585306,176.9569374867439,GAS
18,219.60507493348385,224.6822278502564,ALO
19,261.82266577741495,267.8239286067532,ALO
20,142.32063230824573,143.82143903584415,ALO
21,142.75722633138025,145.15507582215358,ALO
22,214.61357287931622,223.51860080827748,ALO
23,228.56361323398093,221.52679124807975,GAS
24,155.08669584045583,165.5243333914102,ALO
25,223.92,,GAS
