Minisector,LEC,HAM,Fastest
0,296.96066576311716,290.00550061783485,LEC
1,160.9238371303738,152.37437759465774,LEC
2,149.57116591895297,151.29453701536883,HAM
3,231.9778338631769,233.43448599767217,HAM
4,288.10557096347827,293.68703570761903,HAM
5,291.2338359205696,296.17538348028023,HAM
6,149.17574087566814,152.133946239372,HAM
7,146.08247496639342,143.68994775670382,LEC
8,140.76210616935055,130.61303049139855,LEC
9,191.8540416541799,202.3156691646304,HAM
10,142.69292044828967,131.30831336769685,LEC
11,123.04699972797341,121.54411637271383,LEC
12,166.38077948322552,166.6094457301281,HAM
13,270.34707037965103,268.5672375110509,LEC
14,295.603351851719,294.6667034765008,LEC
15,149.90433068336463,146.38007043239506,LEC
16,197.6807614825563,203.48867580989156,HAM
17,174.01352267773703,177.50088760472153,HAM
18,271.80624783605595,272.7862321775052,HAM
19,297.64876665681516,298.0953852125698,HAM
20,311.94194501035906,310.72841328654164,LEC
21,319.21636905629316,318.49741322793653,LEC
22,324.0672299427651,322.9780556292064,LEC
23,326.5491072,325.6325747222518,LEC
24,327.2484617499944,322.2907433056077,LEC
