Minisector,OCO,NOR,Fastest
0,264.6153689256651,258.8895855014548,OCO
1,126.0732283643139,129.01754626147994,NOR
2,267.2963538210653,268.6667824289745,NOR
3,315.57857131428574,309.50696639999995,OCO
4,315.4816165048051,306.063813575041,OCO
5,325.10246913580244,314.69258074013607,OCO
6,339.72457404175753,319.90506720817564,OCO
7,345.1347618864762,315.01962170340136,OCO
8,197.42981128000986,193.83090686149777,OCO
9,192.46605763688186,199.34051964451842,NOR
10,181.93291509628784,172.6875422687321,OCO
11,162.57063804511876,167.8416185162725,NOR
12,250.22927653725105,255.33604445648618,NOR
13,266.95583625118775,280.411195557146,NOR
14,277.30813150107525,286.9787653310521,NOR
15,271.37330603526397,271.2602502068758,OCO
16,185.1441561730159,183.18429409445366,OCO
17,189.6915282216395,190.9758933754118,NOR
18,241.19806066417814,246.60032645042415,NOR
19,288.28124199900725,292.1377941048619,NOR
20,310.7136931989923,312.35401775238097,NOR
21,318.57712631132546,320.6875220656085,NOR
22,315.03304467775695,314.32529763809526,OCO
23,254.88312066604448,232.73900820722318,OCO
24,112.60346063012065,113.68461414821036,NOR
25,227.4,,OCO
