Minisector,VER,TSU,Fastest
0,246.1274349536471,249.45692882362303,TSU
1,283.1582261100144,284.7479092099048,TSU
2,182.5926925458093,179.2825028443224,VER
3,154.49304275008066,159.79065162849503,TSU
4,258.84620313870374,256.0692460319414,VER
5,265.087040115942,268.2868110715509,TSU
6,230.34828684028642,233.97351907849622,TSU
7,210.08045096688363,204.8984559717983,VER
8,161.90825404606062,162.845806772047,TSU
9,212.54781054238626,216.54303290612248,TSU
10,268.9151384066667,269.45561285968256,TSU
11,125.34384569976264,135.55955436565682,TSU
12,215.19561850040247,209.49219061534862,VER
13,274.83219995196333,276.3727231462434,TSU
14,296.7111491492668,295.528412888658,VER
15,307.2406397908433,304.9730324177778,VER
16,245.0366996687482,235.04651390093835,VER
17,133.27931915655472,128.39105183019473,VER
18,132.48685953860726,124.11248118736644,VER
19,122.17765253862062,120.24561936611595,VER
20,225.8146022870963,225.83463740145882,TSU
21,261.01240610628724,257.7741751836791,VER
22,242.8589721249133,242.77854691003174,VER
23,227.6909186507562,217.821463940922,VER
24,140.63886228485993,133.36998497115226,VER
25,216.47169747525732,215.8750048,VER
