Minisector,RIC,HAM,Fastest
0,267.9430051050273,269.5263425011472,HAM
1,228.56217187061472,240.74676775404322,HAM
2,109.6599324264106,106.29033336860978,RIC
3,178.72484525641963,166.4768234002797,RIC
4,174.2087575861824,163.72167974356262,RIC
5,211.56437422821938,208.20155856081308,RIC
6,265.8887319723426,272.3539572598035,HAM
7,278.1983004491228,286.0113419577705,HAM
8,178.417821938093,166.8674193980133,RIC
9,139.64605764094458,119.4169187108202,RIC
10,129.6264156025939,130.10233099181772,HAM
11,190.18604460919946,194.95117431918365,HAM
12,206.27860140913813,184.6038036393149,RIC
13,124.48694042041122,128.81996887144143,HAM
14,141.93313602242438,120.86066270092928,RIC
15,118.12268359998808,126.59462001761374,HAM
16,245.1985925953692,254.39777201066667,HAM
17,134.4639665585316,132.19424113531397,RIC
18,192.43925169509515,199.49897443724865,HAM
19,120.004130923468,112.72779957101567,RIC
20,123.80248365801368,121.59972955747538,RIC
21,113.17011673512887,116.85259951273997,HAM
22,134.64771441641005,150.67954433855832,HAM
23,209.8528123828259,207.9568220180739,RIC
24,226.4528624404152,232.76564771070582,HAM
25,254.82954472727272,,RIC
