Minisector,NOR,KVY,Fastest
0,331.88386811108234,338.06706171951225,KVY
1,230.72164564636998,268.7070096916104,KVY
2,135.72896518059574,125.28420576371822,NOR
3,223.1899111354197,216.9801587301587,NOR
4,267.30673437334,262.75478294581364,NOR
5,291.83699343392516,289.0152057743316,NOR
6,303.50457566261497,305.0,KVY
7,267.3965826091903,290.541238147081,KVY
8,167.0335293191652,177.413174427975,KVY
9,243.3571467491463,240.94585182567266,NOR
10,274.32236087420114,271.5865671705156,NOR
11,260.34802837854875,262.1324263802954,KVY
12,211.5244974158401,204.13717106512965,NOR
13,129.86534776010615,135.40925270596006,KVY
14,123.31177248038517,123.92154177974031,KVY
15,163.40685202475078,173.82917400558105,KVY
16,127.51315639102137,122.04071714787513,NOR
17,236.49794096413285,228.80362927434516,NOR
18,179.35876648226932,195.45455003471184,KVY
19,166.5145534167818,160.1809553498434,NOR
20,249.0515372643136,246.57066127694148,NOR
21,277.91465681371164,276.9137472789213,NOR
22,296.94954163816243,291.52834986584986,NOR
23,307.9028580402099,302.8144580434759,NOR
24,313.7190476190476,308.805857721165,NOR
25,315.0,310.0,NOR
