Minisector,VER,NOR,Fastest
0,288.0461948355019,294.2117937186724,NOR
1,291.92128662,301.207126962465,NOR
2,173.01803707044368,155.50468220951242,VER
3,221.4721544909804,226.44717041622408,NOR
4,270.095889158394,280.32574256969696,NOR
5,292.67130199997166,304.986836425172,NOR
6,302.9562242742857,316.0276189053968,NOR
7,180.95261278056884,153.6542188113839,VER
8,124.3202697691003,120.99232505333731,VER
9,251.60553722893317,253.516852975359,NOR
10,293.57863856839987,296.0513737655153,NOR
11,307.4732043342857,310.76744778197974,NOR
12,148.57492820924256,137.65973546250595,VER
13,180.58897741721262,185.9929044524047,NOR
14,255.95735056427134,252.31617292622224,VER
15,209.0753066569697,195.42274506012606,VER
16,216.17645328974197,212.95109455878932,VER
17,219.30134376699897,208.0334356265008,VER
18,249.6107063573333,242.74341483352381,VER
19,278.4614032673103,274.3269698841346,VER
20,295.7082138379832,286.77076109163886,VER
21,270.1922222114486,253.6426352427736,VER
22,229.0617370926089,215.56021890249514,VER
23,208.76507662268398,199.61242849364874,VER
24,263.67193472329143,259.84074316485186,VER
25,280.1625,,VER
