Minisector,NOR,ANT,Fastest
0,270.92827709283836,270.11808700739044,NOR
1,287.25049071407403,288.2040345099112,ANT
2,292.6454845098136,295.68827050047616,ANT
3,127.80736396100038,124.95537167786398,NOR
4,193.0471364116511,192.8022843710446,NOR
5,253.23727930145904,257.87685892789113,ANT
6,142.48028916204737,146.08076656186938,ANT
7,209.16057859726206,201.38214019417256,NOR
8,256.40782508382875,255.25841576114286,NOR
9,277.0347338487395,279.6544335759626,ANT
10,245.11663545112782,236.47911455560697,NOR
11,183.84484303941392,183.49946373790775,NOR
12,195.22843165038137,189.9055423360593,NOR
13,145.36674521751337,142.47023906835977,NOR
14,179.25059218351254,173.0015454784699,NOR
15,160.7272364710787,160.82859864407098,ANT
16,220.92601296888887,215.68714461758105,NOR
17,240.60129209561833,237.7643436269022,NOR
18,244.9119567977938,240.35575773825292,NOR
19,240.32181521471327,235.945846248823,NOR
20,145.81785573672371,144.31446162027268,NOR
21,131.8136269317624,134.78841202664063,ANT
22,169.7263437302806,168.10803214405254,NOR
23,155.0862408649178,151.49364332563331,NOR
24,233.2430161922902,228.4841606423372,NOR
