Minisector,RUS,GAS,Fastest
0,274.4175734002771,274.6808011758274,GAS
1,299.99561152,307.04121375492065,GAS
2,314.0067768420024,327.16107958204077,GAS
3,321.5780991866667,338.96705359960583,GAS
4,325.6182603870145,347.4583146123428,GAS
5,326.4418807791746,345.9889237447619,GAS
6,209.09241370020496,187.8071957558357,RUS
7,104.5253684922172,103.6742966190556,RUS
8,193.70562654507142,180.6302889847619,RUS
9,261.03495857296576,265.88579997777776,GAS
10,290.18512670102535,300.62711318031745,GAS
11,171.3028988520118,135.19912476002048,RUS
12,97.01942422779399,97.27630312716157,GAS
13,114.16241650560228,118.39476692273375,GAS
14,217.5892235826087,219.70760393055366,GAS
15,192.07765713199834,191.23630077630295,RUS
16,228.09489792581817,225.48540344242426,RUS
17,185.03395352808857,178.06781151535787,RUS
18,236.544711545034,239.7220474328889,GAS
19,276.5178429028571,282.55832832739566,GAS
20,248.8452067204637,227.66451394262626,RUS
21,149.4824952083117,142.62628031933934,RUS
22,99.49522754150372,98.4480427277742,RUS
23,128.4106183752034,126.03521936354062,RUS
24,226.64131081142858,231.53044433002506,GAS
