Minisector,ANT,LIN,Fastest
0,245.96909773965606,241.3241015512545,ANT
1,132.2821484973772,139.824288922433,LIN
2,278.12433831316946,283.56475900770977,LIN
3,314.8513424656448,319.38113072959646,LIN
4,297.4276648575691,301.3215373545578,LIN
5,319.3621462208482,314.8300941298835,ANT
6,319.62025028739316,313.76689722687746,ANT
7,314.14857498239996,310.33761155142037,ANT
8,195.75096566583304,189.8228493967218,ANT
9,193.47326002987256,190.54444255491484,ANT
10,178.9269962295439,175.99451431606647,ANT
11,176.79657737853003,166.53991107968253,ANT
12,244.84899266281096,239.86569246897923,ANT
13,263.6548119402181,250.4387741413192,ANT
14,256.5713317748515,265.6365616378395,LIN
15,247.32755353381467,246.13337843706998,ANT
16,173.74861577895916,174.02831040144187,LIN
17,188.14180383740674,189.01224210428984,LIN
18,252.00969018448978,248.0536961042666,ANT
19,303.06251678191256,299.6455719137645,ANT
20,325.3612609328655,317.2028969476338,ANT
21,314.1652469814816,293.41980414155773,ANT
22,290.7797749824339,275.249231044432,ANT
23,250.87342767496747,251.79243508275923,LIN
24,117.79052211171897,122.31197563274766,LIN
25,220.4,,ANT
