Minisector,SAI,PER,Fastest
0,269.80714370975056,270.1366549471861,PER
1,233.63890205714287,257.60300612714866,PER
2,114.71435326252565,119.29852187006854,PER
3,174.7065206469622,154.6030102248112,SAI
4,191.11854165330857,193.64032353921053,PER
5,189.96671236258206,184.55301445097507,SAI
6,262.8349246623626,263.45182369086484,PER
7,285.22623161829586,284.45385015734917,SAI
8,227.97832876039848,230.0644514989011,PER
9,147.31497463927042,140.85054750356196,SAI
10,113.82335475421937,111.25029980966096,SAI
11,150.42245927261837,154.58829904455646,PER
12,242.9680479531629,242.43961015411253,SAI
13,153.64892314559867,145.30445074980022,SAI
14,142.75827085882014,150.01941688782986,PER
15,108.01606065441321,110.14484062879072,PER
16,225.31565438234162,226.02730070003508,PER
17,226.50026572348293,230.65250176287066,PER
18,125.22618836838993,132.85854683893643,PER
19,241.86680804746453,245.5902428460421,PER
20,277.2494411236774,276.61335288550265,SAI
21,198.87884624646463,191.279339451424,SAI
22,140.2167011453086,154.95543325645886,PER
23,210.48708354641272,222.4199824432624,PER
24,227.23810942217145,226.58674228857066,SAI
25,254.5714304,,SAI
