Minisector,LEC,VET,Fastest
0,257.91155795141253,262.0267045347166,VET
1,211.34444728352406,213.94202541396538,VET
2,223.57552023208427,224.3641982373756,VET
3,263.15517630807454,263.87166678355817,VET
4,278.840550367033,278.52087892794515,LEC
5,231.47932304120383,232.92407201253167,VET
6,98.32162249759031,97.04005135723467,LEC
7,188.24145866614813,184.16700098693022,LEC
8,270.2433044651504,269.167177511826,LEC
9,292.0132991863012,293.673645056876,VET
10,300.2738866564936,301.06536143582116,VET
11,297.85687490738,300.9142959780669,VET
12,113.94824672298043,120.13178819262842,VET
13,216.31276372190834,218.58928540814628,VET
14,276.89882766128295,276.8127120297205,LEC
15,295.4507936507937,296.122006450601,VET
16,226.06669275874174,237.23711159175252,VET
17,126.42363562616394,125.27511601793398,LEC
18,154.86491223582374,153.33262707803175,LEC
19,254.67126591307834,254.72078732450044,VET
20,160.6208792271898,164.36438857923127,VET
21,129.42799888289522,129.06603004793442,LEC
22,208.14306997313764,208.9986499214408,VET
23,213.2188751563909,217.40732301582605,VET
24,167.4907451382419,170.7824319598505,VET
25,232.41666666666666,234.2166656,VET
