Minisector,HUL,GAS,Fastest
0,276.22861153710284,278.081697298707,GAS
1,293.7030996171274,291.9486087745085,HUL
2,288.5392237238598,285.09929758579926,HUL
3,174.75410005963528,159.08546599520483,HUL
4,116.6118580534224,119.70923563463693,GAS
5,235.74648820876786,239.1890058650016,GAS
6,279.35774156918166,285.5547909204396,GAS
7,288.1180057004329,288.89605270548446,GAS
8,174.86848252486774,166.72192075910618,HUL
9,140.96418747475943,140.71854179512331,HUL
10,250.7143886309297,252.87618938157368,GAS
11,286.3390364687973,288.9402348823088,GAS
12,300.50507009587767,300.6530382789409,GAS
13,280.0695596643771,280.5292807727946,GAS
14,299.71836058320343,304.8634116689993,GAS
15,296.2941808979488,301.99364700114285,GAS
16,250.23495160439558,239.62554791190516,HUL
17,228.01488153625954,225.7944472141614,HUL
18,278.4716194115751,289.49176165094303,GAS
19,302.1070964723022,320.4951515978393,GAS
20,305.75288088694464,317.18625185959183,GAS
21,238.97529295563467,217.0326746768254,HUL
22,260.21539445106146,258.1215075157333,HUL
23,141.09626592426807,133.59286850511577,HUL
24,218.0700247496658,224.88528686673723,GAS
