Minisector,GAS,STR,Fastest
0,288.6014227677019,296.19753756536795,STR
1,307.3288093942857,325.1934704108339,STR
2,301.42936604444446,312.92392335238094,STR
3,180.23294614701823,176.01336738383725,GAS
4,213.75603393891626,214.63575619460693,STR
5,195.0844131504314,198.83769108431937,STR
6,183.9562977910358,188.61320329876273,STR
7,203.60904306236557,214.28618731035823,STR
8,252.63154398747068,255.95007323738488,STR
9,257.73335879999996,252.3189584177778,GAS
10,173.56974215449736,170.78164418462708,GAS
11,238.53788435700622,239.07700365128204,STR
12,121.03076017163713,115.29992,GAS
13,224.30100803683925,229.1436879137263,STR
14,273.30007745590063,274.76136368484845,STR
15,280.799436112032,280.23369783112094,GAS
16,204.29396340461173,197.5452003576222,GAS
17,181.87968560648866,188.22086163468717,STR
18,267.45861800414076,270.7501237676932,STR
19,293.8598483393939,296.74525262814524,STR
20,306.5314882133333,308.4404219184854,STR
21,306.10166666666663,307.21072914666667,STR
22,266.7285947936508,231.2312499047619,GAS
23,116.89377693897511,121.6714920301218,STR
24,240.9835316278388,247.37010029629798,STR
