Minisector,GAS,OCO,Fastest
0,307.237037037037,304.94473678596495,GAS
1,237.9873196057971,235.00027117807852,GAS
2,135.86198038563356,131.16758879619047,GAS
3,217.26046598095238,213.85391949039018,GAS
4,264.9892449515673,260.3497908419048,GAS
5,289.29851183068786,285.71552126846274,GAS
6,304.67962962962963,300.1935928945185,GAS
7,284.0338678515883,276.58833610666665,GAS
8,171.08694432,171.03610709071674,GAS
9,236.76391304347825,237.6157187878788,OCO
10,274.08416666666665,270.32812458666666,GAS
11,261.4133333333333,256.84915014166626,GAS
12,197.78358024691357,198.24020147106228,OCO
13,131.14812748339142,123.3966753295238,GAS
14,121.66708773606861,119.99191741243925,GAS
15,167.97322443351254,152.05200176931217,GAS
16,122.80285166777408,124.27101214070602,OCO
17,223.35521116654584,224.93749936231887,OCO
18,185.5380952013136,170.7263371517844,GAS
19,155.3147727498707,163.71950600926505,OCO
20,246.12301587301585,244.34331761552613,GAS
21,276.57826600039743,273.99770794666665,GAS
22,293.45462957037034,289.39999728898846,GAS
23,303.17671957671956,298.70046281481484,GAS
24,308.43986560163273,303.03946070588233,GAS
25,311.22594189765573,,GAS
