Minisector,GAS,BOT,Fastest
0,269.77554606065047,272.86299576023475,BOT
1,287.4726323610251,292.6205607451326,BOT
2,293.8637782200206,295.6421740734695,BOT
3,128.53813146734652,131.22927347511344,BOT
4,198.47675390210637,201.3231681385708,BOT
5,259.44047269423663,260.17986115555556,BOT
6,142.51607138458715,144.91154677240212,BOT
7,208.07780132378474,210.50524381927792,BOT
8,260.0709896128302,262.9026086797474,BOT
9,282.12226880000003,284.8604651175131,BOT
10,229.38778881337572,243.47065734074846,BOT
11,172.07125421245598,185.39671707723525,BOT
12,191.6085061824457,194.69834390812676,BOT
13,145.00483448270668,147.37951027004678,BOT
14,175.4812642489913,176.52300740027118,BOT
15,159.33094608974713,166.77411230005856,BOT
16,216.90864845670205,218.2430814847068,BOT
17,229.3063367585173,242.55315959368687,BOT
18,234.1765400484992,244.3320755462726,BOT
19,236.55137474281597,246.23466888883522,BOT
20,146.43772812999381,149.2012382480167,BOT
21,136.52113834981606,134.81387819928386,GAS
22,169.41939202743364,171.44939384231526,BOT
23,150.00423474659297,154.22769371796582,BOT
24,229.04401824,233.95248399506218,BOT
25,257.65271949048514,,GAS
