Minisector,RUS,VET,Fastest
0,287.6989599613518,286.920921064149,RUS
1,299.2642946285443,297.36136360044895,RUS
2,303.384603290236,303.1212745254902,RUS
3,303.9527479525926,303.5928618105263,RUS
4,189.05411425734786,186.65672332095238,RUS
5,215.66896057791035,206.99047375582916,RUS
6,264.8325249942857,262.50955067705627,RUS
7,256.21837500337386,267.1915879258282,VET
8,180.66879398170488,186.31216763002269,VET
9,150.44807664354337,152.6998573093018,VET
10,180.75570968561593,174.4130189684769,RUS
11,255.42707244071738,253.79950775178878,RUS
12,248.55605722691317,245.01775599455783,RUS
13,225.6845149348148,217.36312179193845,RUS
14,266.04995335434523,264.2939866600866,RUS
15,164.56142657596962,171.45505761494874,VET
16,210.66558804020806,211.41367205134574,VET
17,233.8825087930736,237.57416521504956,VET
18,127.95860458528138,128.19750381768029,VET
19,237.92618665928853,233.3173661754142,RUS
20,274.6626460744589,274.98718671371125,VET
21,244.9227375648819,242.0934957883959,RUS
22,137.3187676892073,137.87056833957757,VET
23,206.47733156017281,196.91024043470298,RUS
24,267.439128277655,261.60196578982493,RUS
25,,278.6066480540819,VET
