Minisector,ALB,MAG,Fastest
0,280.3687981424142,277.20869697742927,ALB
1,251.61966669598232,231.4427159888657,ALB
2,272.90616979196693,259.5712973948779,ALB
3,287.2395395219344,279.88613852498435,ALB
4,122.99678911507081,126.77816977605879,MAG
5,205.97615677900217,207.1409491896998,MAG
6,270.86486237835925,266.6153836098513,ALB
7,303.1989803242308,289.2917122221251,ALB
8,317.8906751189545,300.51511192684865,ALB
9,325.86344984382833,304.84909658972657,ALB
10,304.2086401309126,287.72827186824406,ALB
11,100.85053808933006,100.0894470978543,ALB
12,221.80682697662286,217.89793187953654,ALB
13,270.99947612517815,267.02459501491154,ALB
14,271.9374767657617,269.1749292212806,ALB
15,131.86781775701263,126.32857760819061,ALB
16,195.54829197283448,196.63864647747295,MAG
17,248.6317482692221,252.3024869952887,MAG
18,257.55883930608496,247.51611197674293,ALB
19,237.31316488444767,238.3040682735137,MAG
20,149.2041956541433,151.84905848039054,MAG
21,181.5435254441114,185.32234955161258,MAG
22,165.870555904451,162.41992802430536,ALB
23,183.7403668445388,188.79654211578784,MAG
24,247.21749841148443,248.49349562074,MAG
25,267.5750016,,ALB
