Minisector,BOT,SAI,Fastest
0,301.85911426666667,301.3857355842386,BOT
1,303.39831106091253,291.780215980599,BOT
2,160.62720950673244,152.8294882208764,BOT
3,228.10379166954093,233.59693007719298,SAI
4,275.8719894530141,286.5847115914877,SAI
5,294.6372398400436,310.665271903143,SAI
6,298.3892025785028,322.51627110322863,SAI
7,151.51725275100912,134.8512229819915,BOT
8,140.9494666738894,157.05315106596308,SAI
9,252.34709222539166,265.3389149010899,SAI
10,283.5175546427318,302.9920616288677,SAI
11,289.6166844998558,311.194236578476,SAI
12,146.25718861048267,134.68480952589783,BOT
13,200.6652661421422,208.97934676223625,SAI
14,255.68079971667612,250.20721346843996,BOT
15,200.75456666950242,194.06106183809524,BOT
16,220.15393894936406,225.87359527596337,SAI
17,211.94381530936525,211.8366428207138,BOT
18,245.63948964496663,251.0368199031199,SAI
19,276.9048296252289,278.50446748443835,SAI
20,289.73619253663696,284.0,BOT
21,253.54970430609805,255.2451685380795,SAI
22,219.74890422992905,217.70724073650794,BOT
23,210.9448174925111,214.28547714123562,SAI
24,265.66520122358196,265.81154408447384,SAI
