Minisector,PER,ERI,Fastest
0,260.94605365567963,258.2372324917872,PER
1,133.31294380422386,132.62161459697558,PER
2,267.4036656370755,260.75794386075535,PER
3,307.81217756825396,299.105166848,PER
4,306.4050000213333,296.2716665721905,PER
5,312.4574398218106,301.7631667626667,PER
6,315.24385881496,306.41076391111113,PER
7,311.31395793754547,308.22683332266666,PER
8,197.6156233390753,207.8866210356498,ERI
9,201.17407710841,197.44161475995378,PER
10,178.93090027642612,194.7412424174708,ERI
11,164.9982869282115,158.65972304494392,PER
12,256.3060263495241,246.7542077031961,PER
13,283.5182957390713,280.3307098074074,PER
14,278.21480039553444,278.0490634051676,PER
15,271.2842258377176,281.26243541446206,ERI
16,183.57479376984446,186.47750316836735,ERI
17,190.96719028917335,193.30865744417596,ERI
18,244.76221248735632,239.95882775791088,PER
19,290.82793551480876,285.18488064900407,PER
20,312.50070230913144,303.75672089523806,PER
21,319.51444358029335,309.43066666666664,PER
22,318.6529266666667,308.72934784927537,PER
23,259.76668375491266,266.8113570670498,ERI
24,115.24743140742893,115.18618537450281,PER
25,232.7000064,226.69999786666668,PER
