Minisector,VET,HAM,Fastest
0,269.7848008054106,269.5263425011472,VET
1,252.71809686888014,240.74676775404322,VET
2,109.10225830897627,106.29033336860978,VET
3,165.00729601881497,166.4768234002797,HAM
4,175.62012886583832,164.1437637943604,VET
5,210.24819432211092,204.06913394634805,VET
6,270.1659402192306,271.2361720450459,HAM
7,284.8893950322995,285.6915077306368,HAM
8,185.24371417479978,171.1978570763719,VET
9,119.81972652537952,122.19723789379891,HAM
10,125.77080250119533,126.8085637505281,HAM
11,174.16731039116655,191.2974184975824,HAM
12,212.4636185737143,197.29957316231403,VET
13,127.20863377031858,128.6180112177057,HAM
14,153.65282784586742,133.45586953808856,VET
15,116.05943715178451,112.05784836721948,VET
16,243.5895796189824,251.4335923911111,HAM
17,141.94975148021163,135.69680278215094,VET
18,169.57598803875274,196.18146129439154,HAM
19,117.42758314054271,115.11580926207849,VET
20,122.49037595267623,124.6404064079206,HAM
21,118.277293063635,116.48469882245425,VET
22,139.95683403466666,139.32763405420184,VET
23,217.0080192879568,210.67527112625302,VET
24,229.51643385860686,228.48920177185485,VET
