Minisector,HAM,VET,Fastest
0,278.6541819118197,279.6706956934336,VET
1,239.45527925164524,247.77306091376224,VET
2,118.27537266975311,115.52830572031478,HAM
3,191.75695266607244,188.71971629386198,HAM
4,183.44220516208827,184.45662260929674,VET
5,220.36927461160704,211.87487998250157,HAM
6,277.813123514797,278.0395533826194,VET
7,295.1005029265336,295.6133606781784,VET
8,189.2372428151181,197.1575423892449,VET
9,134.7144379248158,130.65167576431094,HAM
10,136.340087488696,129.33973967400476,HAM
11,191.84618319831043,188.46699422567565,HAM
12,224.73716972853362,228.995156725092,VET
13,135.11865839346348,132.6959165199423,HAM
14,157.87492082340663,161.21646555894876,VET
15,121.6867084387457,116.6753983227092,HAM
16,256.0004622518751,252.8629351530496,HAM
17,144.22548236355888,152.60437234208325,VET
18,200.8539008689968,193.51886788328954,HAM
19,140.69678152212484,137.74221616690812,HAM
20,155.20297986379876,154.4008063332679,HAM
21,130.67184078915665,124.80216050606974,HAM
22,146.44040085056997,139.5253438034067,HAM
23,222.0211279889915,218.36866709333336,HAM
24,236.88639619340327,229.9873490156056,HAM
25,,263.9249984,VET
