Minisector,SAI,STR,Fastest
0,288.5996404727098,296.19753756536795,STR
1,305.20875013333335,325.1934704108339,STR
2,299.980978944962,312.92392335238094,STR
3,183.3857824078873,176.12803502337545,SAI
4,226.77495213245066,213.14911825437704,SAI
5,210.06556483006062,199.34627887126774,SAI
6,193.20883940547364,189.04345567160206,SAI
7,218.4147782338178,210.77009531955363,SAI
8,259.45843297777776,253.56907024388948,SAI
9,264.69746379130436,252.98620008106667,SAI
10,177.51496653832,168.9016891282175,SAI
11,241.03741932327927,237.69831766153845,SAI
12,115.92117821727548,119.27191381728396,STR
13,228.6149705876543,226.92589471734624,SAI
14,274.2880373994805,272.9,SAI
15,280.08509294244305,281.8321988598082,STR
16,208.61030503327504,204.47834133824887,SAI
17,186.90465720784314,182.87457800642176,SAI
18,271.1016236233654,267.2678319899154,SAI
19,294.7832073050505,295.1494192948119,STR
20,305.59208341333334,307.6348809295238,STR
21,305.5416666209524,308.21918682896165,STR
22,259.9255337539047,248.78796302222221,SAI
23,117.53287611898965,116.75999048787804,SAI
24,246.242812981685,241.31034544226603,SAI
25,,272.5,STR
