Minisector,LEC,STR,Fastest
0,296.96066576311716,316.685191384669,STR
1,160.9238371303738,158.28865354663964,LEC
2,149.57116591895297,147.51145450827013,LEC
3,231.9778338631769,237.6109511854845,STR
4,288.10557096347827,286.35969630831073,LEC
5,291.2338359205696,279.56076495127274,LEC
6,149.17574087566814,140.92976022021605,LEC
7,146.08247496639342,142.9580523019017,LEC
8,140.76210616935055,133.56067778943722,LEC
9,191.8540416541799,208.68150530117174,STR
10,142.69292044828967,127.16938716802167,LEC
11,123.04699972797341,119.2212629543515,LEC
12,166.38077948322552,184.58230026009875,STR
13,270.34707037965103,271.6729145101167,STR
14,295.603351851719,290.15160072263507,LEC
15,149.90433068336463,138.9490823998668,LEC
16,197.6807614825563,180.83678769696579,LEC
17,174.01352267773703,189.03281427223985,STR
18,271.80624783605595,280.3728422810766,STR
19,297.64876665681516,298.12084850241547,STR
20,311.94194501035906,313.00875012848485,STR
21,319.21636905629316,320.37751806836366,STR
22,324.0672299427651,326.26114716075034,STR
23,326.5491072,329.188212748538,STR
24,327.2484617499944,327.6187863167549,STR
