Minisector,KVY,SAI,Fastest
0,299.59440810232144,300.43476364914716,SAI
1,317.87493704661654,319.8289057997321,SAI
2,327.22753560238846,327.5394736280702,SAI
3,325.7962728421053,324.0580829433584,KVY
4,186.13104146972273,190.0564228037178,SAI
5,225.7687221366967,226.86347699535267,SAI
6,273.7405806119177,271.0760028291976,KVY
7,266.3660636289855,267.7088536159127,SAI
8,190.40706817851165,193.08500864770838,SAI
9,152.17994325101694,150.85576877755787,KVY
10,190.249337932584,190.4057959152586,SAI
11,264.0865076133256,263.4897252586755,KVY
12,253.7617242282399,245.4404175622205,KVY
13,228.37113819524416,228.3000793898713,KVY
14,269.34588705108223,274.3532327098735,SAI
15,177.06963823548554,171.32792687891154,KVY
16,228.5395056103963,218.35818787896733,KVY
17,254.501993778882,250.4421261085918,KVY
18,138.01722543010817,136.5070240989937,KVY
19,245.4769068153489,245.27663633944132,KVY
20,286.3679919030303,283.4151852392671,KVY
21,260.10654910807455,249.45304665907784,KVY
22,146.46291647484873,144.09604216382422,KVY
23,214.53120679007762,213.5771983270318,KVY
24,274.7493697934027,275.3861724441117,SAI
25,289.8250016,288.7874976,KVY
