Minisector,RUS,ALB,Fastest
0,296.1496685717749,297.6810478109091,ALB
1,299.36093753333336,309.79537250424244,ALB
2,276.1224825596922,287.9587690813513,ALB
3,108.21358784741,106.944246022651,RUS
4,219.76927505326444,223.3027955898535,ALB
5,272.1172321968254,273.6028207464358,ALB
6,207.26261898675423,195.60443279660868,RUS
7,157.44556228062558,161.61462055124838,ALB
8,189.35824688536798,191.10052795171228,ALB
9,199.81961607240828,202.95284455234,ALB
10,114.00367002267217,110.06338597949423,RUS
11,227.97876563352892,223.36180978889806,RUS
12,115.41896257243158,110.05899265496103,RUS
13,220.67226481828595,232.13156408297027,ALB
14,273.27191944746164,277.92021393859255,ALB
15,208.46810884181298,198.66757617294624,RUS
16,179.4970223819285,192.73445901530343,ALB
17,233.06287676185164,242.09599491786483,ALB
18,193.94137608100755,182.03471675530162,RUS
19,181.9094695589787,192.32459653051444,ALB
20,265.80354235844146,270.2710229333333,ALB
21,293.1216072,294.1154198929705,ALB
22,163.06099579334196,146.68017249293092,RUS
23,208.516257447696,221.02063781825473,ALB
24,275.24104787206346,276.48000579961905,ALB
