Minisector,SAI,GIO,Fastest
0,312.5353164600823,314.86064667745853,GIO
1,235.0895706247737,223.5807135063403,SAI
2,132.02538136495357,135.35458538965736,GIO
3,221.84879960401395,221.9995123073441,GIO
4,267.38726957615023,265.9213130588566,SAI
5,292.76299749955314,291.6825038545855,SAI
6,306.5544444444444,307.2682692923077,GIO
7,272.0605709893253,281.54020547565705,GIO
8,169.27621780108925,166.559617754912,SAI
9,243.68251554644203,241.72701646515446,SAI
10,271.538935667934,275.8741295053091,GIO
11,256.50272524173107,260.0567098613117,GIO
12,203.80089739686605,203.86876503225287,GIO
13,125.59257865018508,124.61159341429627,SAI
14,122.77861680437013,124.78947615292206,GIO
15,162.79798472632584,169.23370298321504,GIO
16,125.26344055639986,121.83756118634071,SAI
17,227.06144558288236,232.86183712721197,GIO
18,180.46015301482032,186.05048095841494,GIO
19,162.12030464545433,159.14535147250737,SAI
20,250.42656422149125,248.95810157704636,SAI
21,279.613330187894,278.2715878634133,SAI
22,295.2366666666667,299.0678844451917,GIO
23,303.08919994416283,317.38445446801865,GIO
24,307.1763889777778,328.9401785904762,GIO
25,309.0,333.1430556444445,GIO
