Minisector,BOT,RIC,Fastest
0,304.6892214167775,296.8119053028571,BOT
1,321.7398180651629,308.8075595657143,BOT
2,327.13949578039217,313.5182869925926,BOT
3,324.0276323368421,304.56416544,BOT
4,182.04980883254345,166.29290680301443,BOT
5,217.0336450652608,207.67718802411062,BOT
6,245.64492716521738,228.5055070778834,BOT
7,266.9094424588745,264.94645904546695,BOT
8,258.73505036179887,258.15914999854607,BOT
9,167.72607693672762,161.32316170912847,BOT
10,230.1712004935649,226.0979560286767,BOT
11,133.5988322561588,127.40781258231416,BOT
12,228.75623780115063,230.72990372571428,RIC
13,194.49589157357912,181.9215329099082,BOT
14,226.39569960664406,220.64027654320986,BOT
15,249.90362342028988,248.71258096980625,BOT
16,264.697050569697,267.008197914557,RIC
17,283.97515839069723,287.19210509473686,RIC
18,164.0304239742945,154.6632022042173,BOT
19,176.28992630101754,169.4673181544832,BOT
20,148.02898557853348,143.17162585837536,BOT
21,174.98306425869657,162.14714184551548,BOT
22,116.86262608554172,115.40638749901017,BOT
23,223.9575106367617,230.12066594133333,RIC
24,270.9005678060606,273.10713957638,RIC
25,284.44166613333334,,BOT
