Minisector,ALB,NOR,Fastest
0,274.54157443500543,281.3803849287982,NOR
1,224.73142248253967,220.19576184761902,ALB
2,113.81660531097151,114.19425203654153,NOR
3,195.04874457245853,200.33066457104294,NOR
4,176.73219806190477,169.70087287511583,ALB
5,222.06060606060603,222.32363525079367,NOR
6,271.7523812010025,279.5233390596491,NOR
7,287.57747495137846,297.43198677673263,NOR
8,175.34709826190476,167.84075713613444,ALB
9,126.66145373116254,122.51845947151173,ALB
10,134.57151787048562,138.13796114459217,NOR
11,200.28914845421244,203.85602076483516,NOR
12,212.3000489781049,203.50140296378012,ALB
13,130.82509665547386,130.582305853097,ALB
14,148.07864567854725,132.15071137331776,ALB
15,130.92293927847257,147.2466295058491,NOR
16,251.5471654893424,260.3542227384588,NOR
17,137.6781339983017,134.89309453717993,ALB
18,205.76311802469135,209.29677493136103,NOR
19,130.81777448883417,126.65219213954444,ALB
20,151.80453059486365,142.38239488995484,ALB
21,126.53921503583909,125.93952889613688,ALB
22,155.34756684817927,160.8000240749766,NOR
23,218.94228301552195,216.72345216000002,ALB
24,237.6446428952381,243.38481299570054,NOR
