Minisector,VER,RAI,Fastest
0,271.3595171947154,269.897566555486,VER
1,288.7688042920571,287.7925158229114,VER
2,294.8965029142857,295.84394463433813,RAI
3,137.5968116052385,130.4652072035292,VER
4,204.4242961284519,193.60200923905848,VER
5,262.1665701475403,252.9445006150391,VER
6,155.01867401097937,134.35437667305163,VER
7,210.93043494034654,207.58388443748555,VER
8,261.3986938370147,260.28131570173457,VER
9,281.5236915123444,280.9001693969607,VER
10,253.4649005338,237.64170230754547,VER
11,192.83267625417267,179.51860684758682,VER
12,203.99548427885412,191.42834636964176,VER
13,158.446187450512,145.1753164560321,VER
14,187.42516231931444,175.88062921854475,VER
15,174.62497690701642,159.62052532285384,VER
16,225.78565856482183,216.77538036595743,VER
17,248.11210172207973,235.13812428766846,VER
18,248.32725466441647,237.50098126210514,VER
19,257.72105788055404,236.9368193861423,VER
20,152.05361952305444,143.70050505399348,VER
21,145.35857673350145,133.46870887389338,VER
22,176.5276033955563,169.51338279495727,VER
23,158.6585832885654,153.3121713940807,VER
24,235.90464406469158,230.95122516159773,VER
