Minisector,PER,ERI,Fastest
0,249.08804757505538,250.33742716034314,ERI
1,286.4496881777778,283.2241666666667,PER
2,173.63032283697478,174.8501399711213,ERI
3,161.2510479869633,158.06572681704262,PER
4,257.3222449487528,255.01754067623688,PER
5,273.5208501423844,268.7564935064935,PER
6,229.21671256263738,229.58899387592584,ERI
7,201.28964585951996,202.74638752052545,ERI
8,155.63942129525563,162.19033592137487,ERI
9,216.10058337893483,206.32541115270936,PER
10,272.8128571733333,267.5849754810052,PER
11,132.2460776546584,133.51857623274935,ERI
12,212.50577016246893,205.00401862857143,PER
13,276.35963717369617,270.5566962805377,PER
14,297.89729193904765,292.56446438095236,PER
15,308.279125961383,300.53750016,PER
16,238.12857813413262,240.57790552938968,ERI
17,129.4582894011138,129.4075238695561,PER
18,128.8921351723294,127.57833066584253,PER
19,117.84891982073069,119.53257757374547,ERI
20,221.19321054814813,221.5488862217691,ERI
21,250.35008364100145,253.53972061131446,ERI
22,225.57036882962964,240.56599799466665,ERI
23,207.66203984440637,209.1129286126683,ERI
24,135.43174656653488,131.6222277355174,PER
25,,214.52812853333333,ERI
