Minisector,OCO,MAG,Fastest
0,291.220987705679,293.588234896478,MAG
1,233.42569867543267,230.59287702857142,OCO
2,128.54897235392937,129.24505104159363,MAG
3,230.7899152647288,233.2403960853108,MAG
4,191.66925960097961,190.42040663989116,OCO
5,244.97104344137298,244.83654516072562,OCO
6,229.26293631238096,232.76974480346155,MAG
7,248.68036600247345,249.5538020305991,MAG
8,277.7773001034432,282.86329353540765,MAG
9,214.0060055629118,214.37904182980083,MAG
10,204.4980911439557,200.11186793589266,OCO
11,264.83078652896967,267.6564861709031,MAG
12,208.10815484498318,209.95407466440778,MAG
13,245.8614412400657,240.8252774209524,OCO
14,288.49471326152513,286.35395778200257,OCO
15,299.2383171780117,301.72249845028574,MAG
16,294.7040002348052,300.29055076190474,MAG
17,233.5232475549912,236.0246899503056,MAG
18,264.566935851678,264.1127367376794,OCO
19,291.13400913049,291.98219361620136,MAG
20,302.601204416273,305.2705212778175,MAG
21,298.9510144941991,303.3628578352338,MAG
22,149.31850356975679,155.03225337966845,MAG
23,229.88560178779562,227.49610731731622,OCO
24,277.86378633227514,280.25510684414473,MAG
25,288.16875039999996,288.6288087071156,MAG
