Minisector,VER,STR,Fastest
0,279.62195558941795,278.51955380796505,VER
1,117.68878291760473,124.7220337862707,STR
2,156.49322277412168,152.8884954489138,VER
3,209.16402356441205,211.68049638647264,STR
4,160.31208595017637,159.02115007345668,VER
5,241.43075967602124,241.4474663064935,STR
6,231.60017610774614,217.17007622194618,VER
7,135.9542096155973,130.1402307501816,VER
8,233.6928457528757,230.3338676166234,VER
9,272.5917750559617,280.72845413438984,STR
10,281.05590068888887,285.83816672466685,STR
11,148.00217381541125,138.93438661496728,VER
12,216.34772478747763,212.75203324911215,VER
13,267.10382885829176,266.8860720839506,VER
14,270.7260860177915,257.1892317741177,VER
15,102.2645033448912,96.75290557376483,VER
16,216.86552338934135,210.7247672023088,VER
17,270.2727616048892,273.8021641441423,STR
18,290.11911215574816,301.86695102372187,STR
19,302.06264665681306,318.5157777208889,STR
20,308.78260424,328.38541659076924,STR
21,290.48456378695397,279.0081464828617,VER
22,150.55844203930633,143.97995273097732,VER
23,227.9417706660691,233.9930739741799,STR
24,271.5742713424455,282.93784711064654,STR
25,283.67142948571427,,VER
