Minisector,VET,ALB,Fastest
0,285.98287966621314,284.9950961342404,VET
1,294.2249736412247,291.58442986666665,VET
2,297.7221439701531,294.23289465263156,VET
3,296.2529166933333,288.2905906213152,VET
4,171.69357136120465,171.88385482857143,ALB
5,212.75648098765433,207.6349325792256,VET
6,235.85194282088003,226.47645189485712,VET
7,263.87244861678005,260.5751300350901,VET
8,256.4269397995859,252.4770968712215,VET
9,161.94332348855798,164.11435885585743,ALB
10,229.61596811080602,225.50246157069597,VET
11,135.15177078651323,136.736913326342,ALB
12,226.95019373288312,227.75066530133333,ALB
13,188.31985603764682,193.69055242796014,ALB
14,211.722541638392,214.0882483978836,ALB
15,236.42916693333333,238.97096532123018,ALB
16,255.73663239719795,255.75615034920634,ALB
17,280.6141187573536,277.8995756907439,VET
18,127.4853301875246,132.88015240208213,ALB
19,159.26155274059082,162.5480415164445,ALB
20,142.9935128211114,149.19744032694214,ALB
21,161.34793631214313,165.14663068235294,ALB
22,113.67439618105114,117.78431772246022,ALB
23,225.2465903189269,224.58044758974359,VET
24,266.29325985249403,266.54894468805367,ALB
25,,280.5833322666667,ALB
