Minisector,BOT,GRO,Fastest
0,260.46958825253944,259.3791192043248,BOT
1,127.97376075698023,129.78847407746164,GRO
2,199.7058418713599,198.53270439880833,BOT
3,249.5677565681332,245.2774095797258,BOT
4,261.11200323331275,257.0794256201351,BOT
5,173.8250127719009,176.09171914029716,GRO
6,148.58009484201762,147.54675842838887,BOT
7,187.84972934813374,178.36278195488723,BOT
8,102.3018259137728,100.33568799088314,BOT
9,73.43682820148234,71.9332120356622,BOT
10,95.18489328724894,92.42836492285963,BOT
11,186.22823158731606,179.01006724351987,BOT
12,248.1137978048852,242.1113830606059,BOT
13,273.19842151036636,266.2503565367233,BOT
14,286.2705907685698,277.49717893413776,BOT
15,118.1388824123364,115.76742859961509,BOT
16,144.35502842014236,142.44785637923317,BOT
17,187.14288683657304,194.5886991696712,GRO
18,200.6414766416405,194.04697257956084,BOT
19,212.40826729354444,215.15619695465352,GRO
20,138.62345877016028,139.04359154380919,GRO
21,114.27818175361158,118.40362711404518,GRO
22,94.0186509874342,86.81034266274837,BOT
23,196.1465654717165,189.76735328234815,BOT
24,254.2392102869235,245.15841450351303,BOT
25,,262.4937504,GRO
