Minisector,HAM,HAR,Fastest
0,302.4023579608894,281.9559041333333,HAM
1,160.62861754139195,155.86683769076245,HAM
2,160.53534404472313,154.91366917223166,HAM
3,214.7302578605725,219.44726786206897,HAR
4,281.71626052294374,281.2111382392725,HAM
5,295.0666797889054,291.7507579636363,HAM
6,153.86618197218223,146.51638864216474,HAM
7,142.57633234924538,135.92263868981803,HAM
8,156.6866845555949,145.8930093045099,HAM
9,168.13574491045637,170.79158650802563,HAR
10,135.342967427839,130.44818226286327,HAM
11,127.7271365367481,123.05845828252842,HAM
12,154.95912974874688,156.83496630517345,HAR
13,262.8545967209065,258.5738335619048,HAM
14,287.62632576969696,282.4764000065029,HAM
15,153.39047416470083,146.8029106001818,HAM
16,215.88378244871865,206.08608915268817,HAM
17,161.5256425408678,157.2074314619256,HAM
18,264.2981737290207,263.50308923607804,HAM
19,290.04734865454543,285.9242423272727,HAM
20,303.8513425070578,297.3054350856403,HAM
21,312.7883333333333,303.46174933094636,HAM
22,318.19166679365077,307.95918365895693,HAM
23,322.82895829333336,311.8953050868623,HAM
24,319.74452958911564,308.7031250133333,HAM
25,,307.85,HAR
