Minisector,VER,OCO,Fastest
0,281.1177185041812,279.86370044725874,VER
1,297.41290111212146,297.9464976854391,OCO
2,294.98674447140644,295.58869395142494,OCO
3,187.3554041529522,180.57524498512896,VER
4,134.86829383010584,125.18968731768584,VER
5,244.11726945698166,238.81297359339902,VER
6,283.4182980778038,280.48363320642875,VER
7,290.82692246153846,287.584666496,VER
8,191.5418000702392,187.0911353316724,VER
9,154.1649308410548,150.66716004806713,VER
10,256.5545398285714,255.618535245977,VER
11,291.47756246868454,290.81256199905766,VER
12,304.4598767987761,298.88100154920636,VER
13,292.08657217285327,276.52809536,VER
14,301.32037557069526,294.497178904381,VER
15,302.83442230647154,295.82666624,VER
16,265.9080564100822,259.10103114251734,VER
17,239.6825426404548,226.26445623805628,VER
18,279.8254442891479,275.4476477229783,VER
19,297.12016045460814,296.6886294685896,VER
20,299.32024641105585,293.55456809565237,VER
21,247.32463603339687,236.52307164985896,VER
22,267.91899123938856,258.61383723556037,VER
23,145.66338297420236,145.9881221470753,OCO
24,227.01029311167767,217.89397077738371,VER
25,,261.02500053333335,OCO
