Minisector,PER,ALB,Fastest
0,289.5539568664953,302.0185558986114,ALB
1,297.9581348368254,315.6363948843537,ALB
2,302.2332421853109,323.4769233230769,ALB
3,303.295312647619,327.96879741253963,ALB
4,200.4455977928109,215.645041509027,ALB
5,101.5643731168753,96.26750486888854,PER
6,203.3904619950357,195.993510770068,PER
7,255.22438495002226,250.02747458349435,PER
8,279.7882814,283.80057712639905,ALB
9,287.21889062603174,293.42678567619043,ALB
10,153.3325166941004,159.31352596048697,ALB
11,172.69594438446137,166.05979636064006,PER
12,242.59756753983842,234.2440797754386,PER
13,236.26018471111112,237.07958419613772,ALB
14,154.0106942408528,152.3185439758884,PER
15,218.3720715355434,202.0398548099773,PER
16,261.52708378095235,255.04858165298816,PER
17,281.2686844309294,276.6763024666667,PER
18,292.0681429648743,287.4313494857143,PER
19,294.9050001066667,294.5580557511111,PER
20,280.8477772088889,280.5748869755583,PER
21,154.92553949504662,150.45541663999998,PER
22,208.9902780952381,204.47233263011015,PER
23,257.46789388649677,253.58750026666667,PER
24,280.53102670476187,277.592709,PER
