Minisector,VER,RUS,Fastest
0,233.08766474168985,229.93063277879497,VER
1,292.39986255999196,282.36842994871796,VER
2,315.6174219175361,296.7380987732802,VER
3,322.5680842571074,305.0253623652174,VER
4,284.1013342586147,259.12970198368174,VER
5,162.66177797742145,160.0087392374616,VER
6,259.13605837250395,260.2503814671087,RUS
7,273.85116663466664,273.81760199459984,VER
8,215.3993762969548,207.47596828275096,VER
9,218.51136664988113,216.83945337719695,VER
10,177.54699671993984,172.69270690666667,VER
11,220.82430283240328,217.042324114979,VER
12,197.77627963507518,194.82724770461104,VER
13,206.65284074760157,202.22767751260503,VER
14,211.92386556695263,209.1586915703746,VER
15,178.9608724284812,171.11549184009115,VER
16,242.97694892366277,242.41391887069787,VER
17,284.4058378408244,284.373397825641,VER
18,300.37045221790476,297.5488299835728,VER
19,284.91864312685715,288.61857551111115,RUS
20,129.1007642979292,128.73735767148023,VER
21,158.51666457061523,152.4424853918372,VER
22,146.97304881777458,141.7727955604276,VER
23,203.26444834131553,202.7831238911706,VER
24,143.96076152642954,138.43674015375933,VER
25,,176.5,RUS
